"Strictly Confidential"
"Report Run Date :07-02-2016 18:19:14"
"IDEA Cellular Limited - Mahrashtra "
"11/1, Sharda Centre, Erandwane, Off Karve Road,"
"Pune - 411004. Mahrashtra. India."
"Call details for MSISDN : +917700770077"
"Category : Pre-Paid"
"IMSI : 404220526949689"
"From Date 01-09-2015 00:00:00 To Date 07-02-2016 18:19:12"
"01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16"
"Calling (A) Party Telephone Number / MSISDN","LRN","Called (B) Party Telephone Number / Access Point Name","Date","Time","Duration In Secs","First Cell ID/LOCATION AREA CODE","Last Cell ID / PDP Address","Call Type","IMEI","IMSI","Type of Connection","SMS Centre Number / GGSN Address/ SGSN Address","First Roaming Network Cell ID/PLMN ID","2G/3G/4G Call Indicator/Access Type","Routing Area Code(RAC)"
"917700770077","N/A","911400946184","07-02-2016","16:13:05","3","40422-10121-24291","40422-10121-24291","MTC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","N/A","IZ-612345","07-02-2016","14:32:27","0","40422-10121-24291","N/A","SMT","'355189051062300","404220526949689","PP","919822078009","N/A","2G","N/A"
"917700770077","N/A","IZ-612345","07-02-2016","12:18:54","0","40422-10121-24291","N/A","SMT","'355189051062300","404220526949689","PP","919822078009","N/A","2G","N/A"
"917700770077","3075","919960911517","07-02-2016","12:01:04","52","40422-10121-24291","40422-10121-24291","MTC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","3075","919960911517","07-02-2016","11:05:42","90","40422-10121-24291","40422-10121-24291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","3075","918605163149","07-02-2016","10:47:19","98","40422-10121-24291","40422-10121-24291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","3075","919960911517","07-02-2016","10:42:58","236","40422-10121-24291","40422-10121-24291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","N/A","IM-MANOHR","07-02-2016","09:40:17","0","40422-10121-64803","N/A","SMT","'355189051062300","404220526949689","PP","919088001614","N/A","2G","N/A"
"917700770077","N/A","IM-MANOHR","07-02-2016","09:40:11","0","40422-10121-64803","N/A","SMT","'355189051062300","404220526949689","PP","919088001614","N/A","2G","N/A"
"917700770077","N/A","IM-MANOHR","07-02-2016","09:36:14","0","40422-10121-593","N/A","SMT","'355189051062300","404220526949689","PP","919088001614","N/A","2G","N/A"
"917700770077","N/A","IM-MANOHR","07-02-2016","09:36:09","0","40422-10121-593","N/A","SMT","'355189051062300","404220526949689","PP","919088001614","N/A","2G","N/A"
"917700770077","N/A","919960971088","07-02-2016","09:31:47","29","40422-10129-15172","40422-10121-14291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","N/A","919960971088","07-02-2016","08:14:53","15","40422-10121-24291","40422-10121-24291","MTC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","3075","919960911517","06-02-2016","20:58:28","224","40422-10121-24291","40422-10121-24291","MTC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","N/A","IZ-612345","06-02-2016","20:20:23","0","40422-10121-24291","N/A","SMT","'355189051062300","404220526949689","PP","919822078009","N/A","2G","N/A"
"917700770077","N/A","9960971088","06-02-2016","17:40:20","23","40422-10121-24291","40422-10121-24291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","N/A","9960971088","06-02-2016","16:32:11","13","40422-10121-24291","40422-10121-24291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","N/A","IZ-612345","06-02-2016","15:40:13","0","40422-10121-24291","N/A","SMT","'355189051062300","404220526949689","PP","919822078024","N/A","2G","N/A"
"917700770077","N/A","IZ-612345","06-02-2016","14:42:08","0","40422-10121-24291","N/A","SMT","'355189051062300","404220526949689","PP","919822078009","N/A","2G","N/A"
"917700770077","N/A","9960971088","06-02-2016","14:37:59","22","40422-10121-24291","40422-10121-24291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
"917700770077","N/A","9960971088","06-02-2016","13:13:52","24","40422-10121-24291","40422-10121-24291","MOC","'355189051062300","404220526949689","PP","N/A","N/A","2G","N/A"
